termination of adjectives,-a,finaĵo
"name of the letter \""a\""",a,liternomo
abbot,abat/,
"abdicate, resign",abdik/,
bee,abel/,
fir (type of tree),abi/,
"abyss, chasm",abism/,
secondary-school student,abiturient/,
ablative,ablativ/,
self-denial,abnegaci/,
abomination,abomen/,
subscribe,abon/,
"abort, miscarry",abort/,
apricot,abrikot/,
abrupt,abrupt/,
abscess,absces/,
wormwood (type of plant),absint/,
absolute,absolut/,
absorb,absorb/,
abstain,abstin/,
abstract,abstrakt/,
absurd,absurd/,
abundant,abund/,
maple (tree),acer/,
"acid, sour",acid/,
"contemptible, wretched",aĉ/,sufikso
buy,aĉet/,
denotes duration of action,ad/,sufikso
adapt,adapt/,
adept,adept/,
goodbye,adiaŭ,
add (arith.),adici/,
adjective,adjektiv/,
adjutant (mil.),adjutant/,
administer,administr/,
administration,administraci/,
admire,admir/,
admiral,admiral/,
admiralty,admiralitat/,
"admonish, exhort, warn, scold",admon/,
adopt,adopt/,
"adore, worship",ador/,
adrenaline,adrenalin/,
address (e.g. mailing address),adres/,
commit adultery,adult/,
"advent, arrival",advent/,
adverb,adverb/,
lawyer,advokat/,
air,aer/,
aerolite (stony meteorite),aerolit/,
airplane,aeroplan/,
"kind, good-natured",afabl/,
"act affectedly, put on airs",afekt/,
"affair, matter",afer/,
affix,afiks/,
"poster, sign",afiŝ/,
"afflict, distress severely",aflikt/,
aphorism (concise statement of a principle),aforism/,
to prepay postage on,afrank/,
Africa,Afrik/,
gun carriage (mil.),afust/,
act,ag/,
"grate, set on edge (teeth, etc.)",agac/,
agate,agat/,
agent,agent/,
"agitate, stir up",agit/,
eagle,agl/,
death throes,agoni/,
tune (e.g. musical instrument),agord/,
"pleasant, agreeable",agrabl/,
"hook, clasp",agraf/,
to be the aggressor,agres/,
agronomist,agronom/,
agronomy,agronomi/,
age,aĝ/,
charge on currency exchange,aĝi/,
AIDS (acquired immunodeficiency syndrome),aidos/,
garlic,ajl/,
ever,ajn,
made from or possessing the quality of,aĵ/,sufikso
acacia (tree),akaci/,
academy,akademi/,
monopolize,akapar/,
"mite, tick (insect)",akar/,
accelerate,akcel/,
"accent, stress",akcent/,
"accept, receive",akcept/,
"accessory, additional",akcesor/,
share (as of a stock),akci/,
accident,akcident/,
hawk,akcipitr/,
excise tax,akciz/,
acquire,akir/,
acclaim,aklam/,
"pimple, acne",akn/,
accompany,akompan/,
"accord, agreement",akord/,
sharp,akr/,
"locust, grasshopper",akrid/,
acrobar,akrobat/,
"axle, axis",aks/,
armpit,aksel/,
axiom,aksiom/,
act (theatrical or legal),akt/,
active,aktiv/,
actor,aktor/,
"present, current",aktual/,
acupuncture,akupunktur/,
"prompt, on time",akurat/,
be confined (in childbed) (intr.),akuŝ/,
acute,akut/,
accuse,akuz/,
accusative,akuzativ/,
water,akv/,
"etching, metal-plate engraving",akvafort/,
watercolor (painting),akvarel/,
aquarium,akvari/,
columbine (plant),akvilegi/,
to,al,
alabaster,alabastr/,
"give alarm, rouse",alarm/,
lark (bird),alaŭd/,
Albanian (people),Alban/,
albino,albin/,
album,album/,
kingfisher; halcyon (bird),alcion/,
alto (singing voice),ald/,
tree-lined garden path,ale/,
"allegory, figurative tale",alegori/,
Alexander,Aleksandr/,
"awl, punch",alen/,
allergy,alergi/,
alphabet,alfabet/,
seaweed,alg/,
algebra,algebr/,
algorithm,algoritm/,
Algeria,Alĝeri/,
alchemy,alĥemi/,
other,ali/,
alibi,alibi/,
alligator,aligator/,
indentation at the beginning of a paragraph,aline/,
elk,alk/,
alchemy,alkemi/,
alcohol,alkohol/,
alcove,alkov/,
almanac,almanak/,
at least,almenaŭ,
"alms, something given to relieve the poor",almoz/,
alder (tree),aln/,
aloe,alo/,
high,alt/,
altar,altar/,
marshmallow (plant),alte/,
alternate,altern/,
alternative,alternativ/,
"allude to, mention in passing",alud/,
match (for starting a fire),alumet/,
aluminum,alumini/,
alum (chemical),alun/,
love,am/,
bitter (to taste),amar/,
"heap, pile, mass",amas/,
amateur,amator/,
diplomatic mission,ambasad/,
ambassador,ambasador/,
both,ambaŭ,
ambitious,ambici/,
anvil,ambos/,
ambergris (substance from sperm whale),ambr/,
ambrosia,ambrozi/,
"ambulanco, field hospital",ambulanc/,
amoeba,ameb/,
starch,amel/,
ammend,amend/,
America,Amerik/,
amethyst,ametist/,
amphibian,amfibi/,
ampitheater,amfiteatr/,
amphora (ancient Greek two-handled vase),amfor/,
friend,amik/,
amnesty,amnesti/,
ammonia,amoniak/,
sexual love,amor/,
amortize; progressively diminish,amortiz/,
"extent, size",ampleks/,
"ampulla, bulbed container",ampol/,
amputate,amput/,
"amulet, charm worn against evil",amulet/,
amuse,amuz/,
"inhabitant, member",an/,sufikso
pimpernel (plant),anagal/,
anagram,anagram/,
anachronism,anakronism/,
analyze,analiz/,
analogous,analog/,
pineapple,ananas/,
anapest (metrical foot in verse),anapest/,
anarchy,anarĥi/,
anarchy,anarki/,
duck,anas/,
anatomy,anatomi/,
reed (of a musical instrument),anĉ/,
spiced anchovy,anĉov/,
anecdote,anekdot/,
annex,aneks/,
anemone (flower),anemon/,
angelica (plant),angelik/,
eel,angil/,
angina,angin/,
English (people),Angl/,popolnomo
anguish,angor/,
"angle, corner",angul/,
angel,anĝel/,
aniline (chemical),anilin/,
soul,anim/,
animal,animal/,
anise (plant),aniz/,
also,ankaŭ,
"yet, still",ankoraŭ,
anchor,ankr/,
Anna,Ann/,
anomaly,anomali/,
"announce, advertise",anonc/,
anonymous,anonim/,
goose,anser/,
instead of,anstataŭ,
ending of present active participle,ant/,sufikso
Antarctic; Antarctica,Antarkt/,
before,antaŭ,
antenna (zoological or radio),anten/,
antibiotic,antibiotik/,
anticipate,anticip/,
"antique, ancient",antikv/,
antelope,antilop/,
antimony,antimon/,
antipathy,antipati/,
antipode,antipod/,
antithesis,antitez/,
anthology,antologi/,
Anthony,Anton/,
anthropologist,antropolog/,
anthropology,antropologi/,
Annunciation,Anunciaci/,
anus,anus/,
aorta,aort/,
apparatus,aparat/,
"separate, special, apart, distinct",apart/,
apartment,apartament/,
belong (to),aparten/,
apathy,apati/,
appeal (legal),apelaci/,
scarcely,apenaŭ,
appear,aper/,
apéritif,aperitiv/,
aperature,apertur/,
appetite,apetit/,
wild celery (plant),api/,
applaud,aplaŭd/,
"apply, employ for special purpose",aplik/,
"aplomb, composure, self-assurance",aplomb/,
"lean upon, support",apog/,
apogee,apoge/,
"Apocrypha, apocryphal",apokrif/,
"fable, animal story with a moral",apolog/,
"apoplexy, cerebral hemorrhage",apopleksi/,
apostle,apostol/,
apostrophe,apostrof/,
pharmacy,apotek/,
"apotheosis, deification, deified ideal",apoteoz/,
apposition (grammatical),apozici/,
wild boar,apr/,
April,April/,
approve,aprob/,
nearby,apud,
a collection of objects,ar/,sufikso
Arab (people),Arab/,
arabesque (design or dance),arabesk/,
spider,arane/,
arrange,aranĝ/,
tree,arb/,
crossbow,arbalest/,
arbitrary,arbitr/,
arbitration,arbitraci/,
"shrub, bush",arbust/,
"bow (violin, etc.)",arĉ/,
"ardent, fiery, hot",ard/,
heron,arde/,
slate (rock),ardez/,
area,are/,
arena,aren/,
densimeter,areometr/,
arrest,arest/,
clay,argil/,
"argument, reasoning advanced",argument/,
silver,arĝent/,
archaic,arĥaik/,
"archaism, obsolete word or phrase",arĥaism/,
archeologist,arĥeolog/,
archeology,arĥeologi/,
archipelago,arĥipelag/,
architect,arĥitekt/,
archtecture,arĥitektur/,
archives,arĥiv/,
"air, melody, tune, aria",ari/,
aristocrat,aristokrat/,
aristocracy,aristokrati/,
arithmetic,aritmetik/,
"arc, curve",ark/,
"arcade, archway",arkad/,
archaic,arkaik/,
"archaism, obsolete word or phrase",arkaism/,
archeologist,arkeolog/,
archeology,arkeologi/,
archipelago,arkipelag/,
architect,arkitekt/,
architecture,arkitektur/,
archives,arkiv/,
Arctic,Arkt/,
harlequin,arleken/,
"arm (against), equip with",arm/,
army,arme/,
Armenian (people),Armen/,
arnica (plant),arnik/,
arrogant,arogant/,
aroma,arom/,
arpeggio (music),arpeĝ/,
arsenic,arsenik/,
art,art/,
artery,arteri/,
"artifice, contrivance",artifik/,
"joint, articulation",artik/,
"article (of commerce), commodity",artikol/,
artillery,artileri/,
artichoke,artiŝok/,
arthritis,artrit/,
ending of the present tense in verbs,-as,finaĵo
